lat,lon,addr,sqft,assessed,market,subsidy,change,county
37.1648,-118.29211,"231 Dewey St, Big Pine",14810,377400,431538,639,-656,Inyo
37.16,-118.28995,"615 S Main St, Big Pine",15029,497917,497917,0,-1494,Inyo
37.16518,-118.29299,"281 Dewey St, Big Pine",34833,46636,431538,4542,3247,Inyo
37.36541,-118.39307,"575 Howard St, Bishop",5000,36223,605747,6720,4903,Inyo
37.16594,-118.29262,"270 W Crocker Ave, Big Pine",7241,138301,431538,3460,2166,Inyo
37.36528,-118.39307,"565 Howard St, Bishop",5000,403924,605747,2382,564,Inyo
37.16561,-118.29354,"130 S School St, Big Pine",24100,238218,431538,2281,987,Inyo
37.36514,-118.39306,"555 Howard St, Bishop",5000,354671,605747,2963,1145,Inyo
37.365,-118.39306,"551 Howard St, Bishop",5000,106188,605747,5895,4078,Inyo
37.36487,-118.39306,"537 Howard St, Bishop",5000,329806,605747,3256,1439,Inyo
37.36448,-118.39305,"225 E Pine St, Bishop",6150,349214,605747,3027,1210,Inyo
37.36452,-118.39346,"508 Central Ave, Bishop",9560,173433,605747,5101,3284,Inyo
37.36514,-118.39348,"556 Central Ave, Bishop",5000,42483,605747,6647,4829,Inyo
37.36568,-118.39349,"596 Central Ave, Bishop",5000,177892,605747,5049,3231,Inyo
36.61372,-118.0648,"215 Lubken Ave, Lone Pine",6600,240276,379322,1641,503,Inyo
37.36462,-118.39222,"275 E Pine St, Bishop",6900,89547,605747,6091,4274,Inyo
36.61376,-118.0646,"221 Lubken Ave, Lone Pine",6600,411374,411374,0,-1234,Inyo
36.60574,-118.06207,"110 South Jackson St, Lone Pine",6752,201628,379322,2097,959,Inyo
36.61379,-118.0644,"235 Lubken Ave, Lone Pine",6600,164580,379322,2534,1396,Inyo
37.36474,-118.39249,"524 Howard St, Bishop",5500,494700,605747,1310,-507,Inyo
36.61383,-118.0642,"241 Lubken Ave, Lone Pine",6600,249517,379322,1532,394,Inyo
36.61386,-118.064,"255 Lubken Ave, Lone Pine",6600,288447,379322,1072,-66,Inyo
37.36542,-118.3925,"574 Howard St, Bishop",5500,91695,605747,6066,4249,Inyo
36.61397,-118.0634,"281 Lubken Ave, Lone Pine",6600,174519,379322,2417,1279,Inyo
37.36556,-118.3925,"582 Howard St, Bishop",5500,195365,605747,4843,3025,Inyo
36.614,-118.0632,"291 Lubken Ave, Lone Pine",6600,193794,379322,2189,1051,Inyo
37.3657,-118.3925,"596 Howard St, Bishop",5500,494190,605747,1316,-501,Inyo
